node,core_number,in_backbone
9606.ENSP00000421326,1,False
9606.ENSP00000432660,20,False
9606.ENSP00000406229,1,False
9606.ENSP00000495360,37,True
9606.ENSP00000383986,1,False
9606.ENSP00000478887,37,True
9606.ENSP00000373472,1,False
9606.ENSP00000483552,15,False
9606.ENSP00000370593,1,False
9606.ENSP00000374135,3,False
9606.ENSP00000417404,3,False
9606.ENSP00000497910,25,False
9606.ENSP00000365473,5,False
9606.ENSP00000417498,6,False
9606.ENSP00000436812,5,False
9606.ENSP00000381008,6,False
9606.ENSP00000484824,27,False
9606.ENSP00000485659,8,False
9606.ENSP00000365024,1,False
9606.ENSP00000365042,11,False
9606.ENSP00000372724,1,False
9606.ENSP00000364978,1,False
9606.ENSP00000364985,1,False
9606.ENSP00000364949,1,False
9606.ENSP00000406162,30,False
9606.ENSP00000364543,3,False
9606.ENSP00000426909,21,False
9606.ENSP00000364578,3,False
9606.ENSP00000364482,3,False
9606.ENSP00000407685,9,False
9606.ENSP00000396688,9,False
9606.ENSP00000362151,3,False
9606.ENSP00000484803,11,False
9606.ENSP00000365380,37,True
9606.ENSP00000497585,3,False
9606.ENSP00000360764,1,False
9606.ENSP00000364163,14,False
9606.ENSP00000443459,4,False
9606.ENSP00000497574,15,False
9606.ENSP00000445175,14,False
9606.ENSP00000357305,1,False
9606.ENSP00000419060,33,False
9606.ENSP00000356857,1,False
9606.ENSP00000368370,16,False
9606.ENSP00000378760,4,False
9606.ENSP00000478255,8,False
9606.ENSP00000498321,37,True
9606.ENSP00000382342,3,False
9606.ENSP00000379826,4,False
9606.ENSP00000483825,31,False
9606.ENSP00000497271,28,False
9606.ENSP00000358765,2,False
9606.ENSP00000378786,20,False
9606.ENSP00000391249,3,False
9606.ENSP00000437955,37,True
9606.ENSP00000357668,5,False
9606.ENSP00000370542,37,True
9606.ENSP00000428056,37,True
9606.ENSP00000376345,37,True
9606.ENSP00000437550,10,False
9606.ENSP00000478927,27,False
9606.ENSP00000499786,17,False
9606.ENSP00000369134,4,False
9606.ENSP00000376352,8,False
9606.ENSP00000340939,4,False
9606.ENSP00000346879,10,False
9606.ENSP00000347379,22,False
9606.ENSP00000348416,23,False
9606.ENSP00000409544,7,False
9606.ENSP00000354608,1,False
9606.ENSP00000378888,1,False
9606.ENSP00000364298,4,False
9606.ENSP00000384849,37,True
9606.ENSP00000405330,37,True
9606.ENSP00000358794,5,False
9606.ENSP00000367608,7,False
9606.ENSP00000416293,15,False
9606.ENSP00000353379,3,False
9606.ENSP00000379873,21,False
9606.ENSP00000445675,5,False
9606.ENSP00000345728,3,False
9606.ENSP00000416255,20,False
9606.ENSP00000384092,24,False
9606.ENSP00000363329,1,False
9606.ENSP00000425561,20,False
9606.ENSP00000327459,2,False
9606.ENSP00000384359,2,False
9606.ENSP00000364212,7,False
9606.ENSP00000370340,2,False
9606.ENSP00000437621,13,False
9606.ENSP00000321835,3,False
9606.ENSP00000361066,32,False
9606.ENSP00000400142,19,False
9606.ENSP00000381588,11,False
9606.ENSP00000368667,4,False
9606.ENSP00000386559,37,True
9606.ENSP00000370989,37,True
9606.ENSP00000359991,10,False
9606.ENSP00000362413,15,False
9606.ENSP00000495530,20,False
9606.ENSP00000437402,13,False
9606.ENSP00000496166,10,False
9606.ENSP00000493382,9,False
9606.ENSP00000380070,37,True
9606.ENSP00000377192,16,False
9606.ENSP00000473348,16,False
9606.ENSP00000485952,10,False
9606.ENSP00000370517,10,False
9606.ENSP00000496597,10,False
9606.ENSP00000313603,1,False
9606.ENSP00000356520,20,False
9606.ENSP00000365131,6,False
9606.ENSP00000477713,37,True
9606.ENSP00000365201,6,False
9606.ENSP00000384018,32,False
9606.ENSP00000387246,7,False
9606.ENSP00000428924,37,True
9606.ENSP00000410402,16,False
9606.ENSP00000364815,2,False
9606.ENSP00000441000,1,False
9606.ENSP00000307197,2,False
9606.ENSP00000364801,21,False
9606.ENSP00000339787,3,False
9606.ENSP00000346103,15,False
9606.ENSP00000478931,3,False
9606.ENSP00000497274,11,False
9606.ENSP00000498246,11,False
9606.ENSP00000498939,15,False
9606.ENSP00000302846,7,False
9606.ENSP00000360141,15,False
9606.ENSP00000356438,37,True
9606.ENSP00000409581,30,False
9606.ENSP00000342385,5,False
9606.ENSP00000362680,37,True
9606.ENSP00000359719,33,False
9606.ENSP00000366488,33,False
9606.ENSP00000309591,33,False
9606.ENSP00000301659,2,False
9606.ENSP00000339587,7,False
9606.ENSP00000433138,32,False
9606.ENSP00000350402,2,False
9606.ENSP00000497102,37,True
9606.ENSP00000358470,10,False
9606.ENSP00000380855,24,False
9606.ENSP00000485129,21,False
9606.ENSP00000370254,14,False
9606.ENSP00000480004,13,False
9606.ENSP00000378488,15,False
9606.ENSP00000440689,15,False
9606.ENSP00000496150,14,False
9606.ENSP00000439120,5,False
9606.ENSP00000348215,9,False
9606.ENSP00000365745,22,False
9606.ENSP00000379350,37,True
9606.ENSP00000497733,37,True
9606.ENSP00000469413,8,False
9606.ENSP00000297405,3,False
9606.ENSP00000467141,10,False
9606.ENSP00000478026,7,False
9606.ENSP00000494750,37,True
9606.ENSP00000410446,3,False
9606.ENSP00000471896,32,False
9606.ENSP00000295746,2,False
9606.ENSP00000300093,37,True
9606.ENSP00000295718,2,False
9606.ENSP00000380432,37,True
9606.ENSP00000312631,5,False
9606.ENSP00000411821,5,False
9606.ENSP00000430269,7,False
9606.ENSP00000303424,4,False
9606.ENSP00000320147,37,True
9606.ENSP00000313851,4,False
9606.ENSP00000351446,32,False
9606.ENSP00000493594,2,False
9606.ENSP00000365773,6,False
9606.ENSP00000377617,6,False
9606.ENSP00000389326,20,False
9606.ENSP00000416037,2,False
9606.ENSP00000405327,5,False
9606.ENSP00000305302,3,False
9606.ENSP00000444408,6,False
9606.ENSP00000306920,3,False
9606.ENSP00000364782,2,False
9606.ENSP00000351807,18,False
9606.ENSP00000352584,5,False
9606.ENSP00000451828,37,True
9606.ENSP00000290295,2,False
9606.ENSP00000363822,36,False
9606.ENSP00000352926,12,False
9606.ENSP00000289361,1,False
9606.ENSP00000366937,1,False
9606.ENSP00000348602,4,False
9606.ENSP00000429344,4,False
9606.ENSP00000288699,4,False
9606.ENSP00000316779,8,False
9606.ENSP00000359211,9,False
9606.ENSP00000330218,6,False
9606.ENSP00000350198,5,False
9606.ENSP00000368683,20,False
9606.ENSP00000345502,7,False
9606.ENSP00000320295,5,False
9606.ENSP00000357206,20,False
9606.ENSP00000437125,26,False
9606.ENSP00000323588,33,False
9606.ENSP00000369927,14,False
9606.ENSP00000379683,15,False
9606.ENSP00000478561,15,False
9606.ENSP00000280362,5,False
9606.ENSP00000360683,22,False
9606.ENSP00000489597,37,True
9606.ENSP00000344967,3,False
9606.ENSP00000401888,33,False
9606.ENSP00000348753,3,False
9606.ENSP00000322460,3,False
9606.ENSP00000278947,1,False
9606.ENSP00000276708,1,False
9606.ENSP00000275525,10,False
9606.ENSP00000376637,37,True
9606.ENSP00000391826,35,False
9606.ENSP00000497069,37,True
9606.ENSP00000379138,14,False
9606.ENSP00000368880,37,True
9606.ENSP00000336790,22,False
9606.ENSP00000340292,6,False
9606.ENSP00000346839,37,True
9606.ENSP00000349437,13,False
9606.ENSP00000370473,19,False
9606.ENSP00000371341,11,False
9606.ENSP00000457230,12,False
9606.ENSP00000424827,22,False
9606.ENSP00000391669,27,False
9606.ENSP00000296129,3,False
9606.ENSP00000351209,37,True
9606.ENSP00000383053,10,False
9606.ENSP00000480763,8,False
9606.ENSP00000276297,6,False
9606.ENSP00000316029,26,False
9606.ENSP00000400175,37,True
9606.ENSP00000339191,37,True
9606.ENSP00000285735,13,False
9606.ENSP00000336740,12,False
9606.ENSP00000382697,14,False
9606.ENSP00000360609,37,True
9606.ENSP00000379287,33,False
9606.ENSP00000348461,19,False
9606.ENSP00000344215,3,False
9606.ENSP00000411256,18,False
9606.ENSP00000379003,3,False
9606.ENSP00000359804,8,False
9606.ENSP00000408025,10,False
9606.ENSP00000362820,19,False
9606.ENSP00000362441,31,False
9606.ENSP00000385269,20,False
9606.ENSP00000296755,12,False
9606.ENSP00000498476,22,False
9606.ENSP00000374455,30,False
9606.ENSP00000425107,18,False
9606.ENSP00000355231,32,False
9606.ENSP00000363970,15,False
9606.ENSP00000358072,23,False
9606.ENSP00000349547,14,False
9606.ENSP00000346437,21,False
9606.ENSP00000324560,18,False
9606.ENSP00000339001,10,False
9606.ENSP00000354558,37,True
9606.ENSP00000386786,10,False
9606.ENSP00000339063,19,False
9606.ENSP00000455906,1,False
9606.ENSP00000353846,6,False
9606.ENSP00000419081,33,False
9606.ENSP00000369689,33,False
9606.ENSP00000360973,6,False
9606.ENSP00000420321,5,False
9606.ENSP00000422591,6,False
9606.ENSP00000435233,10,False
9606.ENSP00000486891,18,False
9606.ENSP00000447149,11,False
9606.ENSP00000354218,6,False
9606.ENSP00000384273,37,True
9606.ENSP00000378699,37,True
9606.ENSP00000377245,22,False
9606.ENSP00000367545,13,False
9606.ENSP00000371798,8,False
9606.ENSP00000328835,4,False
9606.ENSP00000411532,37,True
9606.ENSP00000355506,36,False
9606.ENSP00000264331,7,False
9606.ENSP00000354522,20,False
9606.ENSP00000494538,32,False
9606.ENSP00000355759,37,True
9606.ENSP00000343896,34,False
9606.ENSP00000376077,27,False
9606.ENSP00000301272,4,False
9606.ENSP00000378409,4,False
9606.ENSP00000332164,2,False
9606.ENSP00000272233,12,False
9606.ENSP00000317985,13,False
9606.ENSP00000376457,34,False
9606.ENSP00000286827,18,False
9606.ENSP00000298159,13,False
9606.ENSP00000366306,10,False
9606.ENSP00000447241,34,False
9606.ENSP00000268613,6,False
9606.ENSP00000389814,24,False
9606.ENSP00000418915,37,True
9606.ENSP00000382004,21,False
9606.ENSP00000263918,12,False
9606.ENSP00000315299,33,False
9606.ENSP00000304643,33,False
9606.ENSP00000311344,18,False
9606.ENSP00000291295,33,False
9606.ENSP00000343925,30,False
9606.ENSP00000373700,32,False
9606.ENSP00000307078,11,False
9606.ENSP00000320663,22,False
9606.ENSP00000414982,9,False
9606.ENSP00000498577,11,False
9606.ENSP00000263798,3,False
9606.ENSP00000331831,8,False
9606.ENSP00000496577,37,True
9606.ENSP00000330341,37,True
9606.ENSP00000388566,9,False
9606.ENSP00000433209,15,False
9606.ENSP00000448165,22,False
9606.ENSP00000349085,5,False
9606.ENSP00000365924,4,False
9606.ENSP00000402758,7,False
9606.ENSP00000263321,7,False
9606.ENSP00000391803,14,False
9606.ENSP00000473093,7,False
9606.ENSP00000380093,8,False
9606.ENSP00000332602,7,False
9606.ENSP00000375921,7,False
9606.ENSP00000379601,4,False
9606.ENSP00000494373,7,False
9606.ENSP00000266744,7,False
9606.ENSP00000387699,37,True
9606.ENSP00000381382,12,False
9606.ENSP00000355718,13,False
9606.ENSP00000400341,16,False
9606.ENSP00000386660,20,False
9606.ENSP00000371483,4,False
9606.ENSP00000263102,7,False
9606.ENSP00000347942,25,False
9606.ENSP00000463027,7,False
9606.ENSP00000332353,9,False
9606.ENSP00000351250,18,False
9606.ENSP00000357494,7,False
9606.ENSP00000357484,5,False
9606.ENSP00000311579,9,False
9606.ENSP00000361021,37,True
9606.ENSP00000350249,8,False
9606.ENSP00000358022,32,False
9606.ENSP00000418960,37,True
9606.ENSP00000312987,27,False
9606.ENSP00000360689,7,False
9606.ENSP00000316357,10,False
9606.ENSP00000341551,36,False
9606.ENSP00000494040,20,False
9606.ENSP00000339527,37,True
9606.ENSP00000357565,8,False
9606.ENSP00000343535,28,False
9606.ENSP00000490491,14,False
9606.ENSP00000300231,14,False
9606.ENSP00000357625,18,False
9606.ENSP00000270349,4,False
9606.ENSP00000365569,8,False
9606.ENSP00000408695,33,False
9606.ENSP00000355865,23,False
9606.ENSP00000306449,4,False
9606.ENSP00000344666,13,False
9606.ENSP00000372035,10,False
9606.ENSP00000398632,37,True
9606.ENSP00000351015,29,False
9606.ENSP00000496414,13,False
9606.ENSP00000405738,6,False
9606.ENSP00000495564,1,False
9606.ENSP00000410294,37,True
9606.ENSP00000396308,7,False
9606.ENSP00000369647,5,False
9606.ENSP00000325548,4,False
9606.ENSP00000310447,5,False
9606.ENSP00000317379,5,False
9606.ENSP00000359258,10,False
9606.ENSP00000261733,5,False
9606.ENSP00000295522,10,False
9606.ENSP00000360269,5,False
9606.ENSP00000371958,26,False
9606.ENSP00000296585,27,False
9606.ENSP00000417050,10,False
9606.ENSP00000353475,11,False
9606.ENSP00000359380,9,False
9606.ENSP00000466259,12,False
9606.ENSP00000385523,26,False
9606.ENSP00000280612,7,False
9606.ENSP00000367123,7,False
9606.ENSP00000444357,8,False
9606.ENSP00000380252,28,False
9606.ENSP00000404854,6,False
9606.ENSP00000463978,7,False
9606.ENSP00000492001,10,False
9606.ENSP00000462521,14,False
9606.ENSP00000261622,6,False
9606.ENSP00000415416,13,False
9606.ENSP00000304592,12,False
9606.ENSP00000348069,24,False
9606.ENSP00000415743,33,False
9606.ENSP00000312652,35,False
9606.ENSP00000369497,33,False
9606.ENSP00000493712,37,True
9606.ENSP00000274063,12,False
9606.ENSP00000284523,17,False
9606.ENSP00000294304,16,False
9606.ENSP00000293549,16,False
9606.ENSP00000285018,12,False
9606.ENSP00000363081,15,False
9606.ENSP00000286574,12,False
9606.ENSP00000286201,13,False
9606.ENSP00000302625,17,False
9606.ENSP00000433112,7,False
9606.ENSP00000452786,30,False
9606.ENSP00000332679,15,False
9606.ENSP00000342007,15,False
9606.ENSP00000362508,15,False
9606.ENSP00000362525,15,False
9606.ENSP00000343838,15,False
9606.ENSP00000362549,15,False
9606.ENSP00000381607,15,False
9606.ENSP00000368100,21,False
9606.ENSP00000434024,34,False
9606.ENSP00000371475,32,False
9606.ENSP00000375978,28,False
9606.ENSP00000372023,31,False
9606.ENSP00000472445,26,False
9606.ENSP00000451974,25,False
9606.ENSP00000417132,12,False
9606.ENSP00000430432,34,False
9606.ENSP00000324806,37,True
9606.ENSP00000378974,37,True
9606.ENSP00000394560,31,False
9606.ENSP00000303174,15,False
9606.ENSP00000304845,15,False
9606.ENSP00000301141,15,False
9606.ENSP00000301146,2,False
9606.ENSP00000311469,15,False
9606.ENSP00000379038,7,False
9606.ENSP00000332256,7,False
9606.ENSP00000315602,5,False
9606.ENSP00000260682,15,False
9606.ENSP00000260970,15,False
9606.ENSP00000363512,11,False
9606.ENSP00000295256,15,False
9606.ENSP00000297785,15,False
9606.ENSP00000281821,9,False
9606.ENSP00000357392,22,False
9606.ENSP00000361423,37,True
9606.ENSP00000284240,27,False
9606.ENSP00000393312,37,True
9606.ENSP00000337451,8,False
9606.ENSP00000350896,9,False
9606.ENSP00000260270,2,False
9606.ENSP00000307786,32,False
9606.ENSP00000260264,1,False
9606.ENSP00000352673,3,False
9606.ENSP00000366249,8,False
9606.ENSP00000496832,27,False
9606.ENSP00000356954,27,False
9606.ENSP00000370408,12,False
9606.ENSP00000382800,27,False
9606.ENSP00000368632,37,True
9606.ENSP00000365433,3,False
9606.ENSP00000379566,2,False
9606.ENSP00000359645,19,False
9606.ENSP00000451291,20,False
9606.ENSP00000391090,37,True
9606.ENSP00000405726,37,True
9606.ENSP00000344401,8,False
9606.ENSP00000425979,15,False
9606.ENSP00000437256,16,False
9606.ENSP00000356150,16,False
9606.ENSP00000381185,37,True
9606.ENSP00000404503,15,False
9606.ENSP00000306682,8,False
9606.ENSP00000360493,34,False
9606.ENSP00000284440,12,False
9606.ENSP00000335153,37,True
9606.ENSP00000364204,20,False
9606.ENSP00000284981,36,False
9606.ENSP00000350512,20,False
9606.ENSP00000392025,22,False
9606.ENSP00000357704,13,False
9606.ENSP00000364210,20,False
9606.ENSP00000366109,15,False
9606.ENSP00000379097,25,False
9606.ENSP00000446007,23,False
9606.ENSP00000418582,5,False
9606.ENSP00000265689,6,False
9606.ENSP00000383611,30,False
9606.ENSP00000266970,37,True
9606.ENSP00000265734,30,False
9606.ENSP00000468425,27,False
9606.ENSP00000498610,5,False
9606.ENSP00000286648,7,False
9606.ENSP00000361965,7,False
9606.ENSP00000346577,6,False
9606.ENSP00000360250,14,False
9606.ENSP00000315644,30,False
9606.ENSP00000300738,20,False
9606.ENSP00000353770,37,True
9606.ENSP00000299697,7,False
9606.ENSP00000319170,7,False
9606.ENSP00000371253,7,False
9606.ENSP00000264036,12,False
9606.ENSP00000457421,37,True
9606.ENSP00000362299,27,False
9606.ENSP00000310036,37,True
9606.ENSP00000411355,37,True
9606.ENSP00000264634,16,False
9606.ENSP00000497290,27,False
9606.ENSP00000356953,10,False
9606.ENSP00000364649,12,False
9606.ENSP00000378408,20,False
9606.ENSP00000390265,23,False
9606.ENSP00000378487,22,False
9606.ENSP00000264982,4,False
9606.ENSP00000313419,37,True
9606.ENSP00000321106,18,False
9606.ENSP00000355627,27,False
9606.ENSP00000379472,24,False
9606.ENSP00000358525,37,True
9606.ENSP00000414303,37,True
9606.ENSP00000331358,10,False
9606.ENSP00000363089,37,True
9606.ENSP00000418525,25,False
9606.ENSP00000369643,5,False
9606.ENSP00000256999,9,False
9606.ENSP00000314151,11,False
9606.ENSP00000301258,4,False
9606.ENSP00000269571,37,True
9606.ENSP00000377284,4,False
9606.ENSP00000295897,37,True
9606.ENSP00000481114,1,False
9606.ENSP00000332963,1,False
9606.ENSP00000298223,1,False
9606.ENSP00000275493,37,True
9606.ENSP00000353731,18,False
9606.ENSP00000372313,5,False
9606.ENSP00000478699,31,False
9606.ENSP00000498587,36,False
9606.ENSP00000413720,25,False
9606.ENSP00000375795,13,False
9606.ENSP00000412237,37,True
9606.ENSP00000442424,37,True
9606.ENSP00000379111,37,True
9606.ENSP00000499900,37,True
9606.ENSP00000398880,9,False
9606.ENSP00000265295,10,False
9606.ENSP00000287598,37,True
9606.ENSP00000355922,37,True
9606.ENSP00000361540,37,True
9606.ENSP00000376322,4,False
9606.ENSP00000335062,32,False
